,id,timestamp,tweet_text,username,followers_count,location
2644,1.57579E+18,2022-09-30 10:23:11+00:00,"Jujur untk program pemerintah dlm Pengaturan subsidi tepat sasaran mnurtku udh tepat, tp kl bs untk pengaturan BBM subsidinya berdasarkan harga mobil/motor aja. Maybe buat mobil yg belinya diatas brp ratus jt/motor yg diatas sekian puluh jt g blh pake pertalite.",e_mhda,9728,"Bogor, indonesia"
2645,1.57579E+18,2022-09-30 10:19:24+00:00,"Pemerintah menaikan harga BBM karena berupaya mengendalikan pembatasan kuota, volume serta konsumen dari BBM bersubsidi tersebut. Dan BBM subsidi tak dicabut, melainkan direalokasikan. @pertamina #RealokasiSubsidiBBM https://t.co/grvWpBfUU4",vynval,4419,
2646,1.57579E+18,2022-09-30 10:17:21+00:00,"pemerintah mengalihkan subsidi BBM sebesar Rp 24,17 triliun untuk menambah bantuan sosial kepada masyarakat. Hal tersbut dilakukan agar tepat sasaran #RealokasiSubsidiBBM https://t.co/vOXjwGPxAW",IrvanWis,5103,
2647,1.57579E+18,2022-09-30 10:16:29+00:00,Pemerintah mampu jaga ekonomi di tengah penyesuaian harga BBM https://t.co/r7TNsGzZmG,PutraFahruzi,7,"Pontianak , Kalimantan Barat"
2648,1.57579E+18,2022-09-30 10:07:42+00:00,Dirut Eksekutif Energy Watch memberikan pendapat mengenai pembagian BLT subsidi BBM bahwa Pemerintah sudah tepat dan harus dikawal agar BLT dan BLU benar-benar tepat sasaran.  @pertamina  #RealokasiSubsidiBBM https://t.co/uFZ2BprTu0,digifeeder,6329,Indonesia
2649,1.57579E+18,2022-09-30 10:01:59+00:00,"Pemerintah harus mengoptimalkan penerima BBM bersubsidi secara tepat dan sesuai dengan kriteria dalam UU Energi, yaitu masyarakat tidak mampu. Karena itu, dlm revisi Perpres No 191 Th 2014 harus didetailkan siapa2 saja yg berhak menerima subsidi BBM itu.  #RealokasiSubsidiBBM https://t.co/papPNF58KF",Wiznu_Prayoga,6552,"Cengkareng, Indonesia"
2650,1.57578E+18,2022-09-30 09:24:32+00:00,"bahan bakar minyak (BBM) bersubsidi banyak dinikmati oleh orang kaya.  Padahal, pemerintah mengeluarkan anggaran subsidi tujuannya untuk membantu masyarakat miskin atau tak mampu.  @pertamina #RealokasiSubsidiBBM https://t.co/AWv6g4IAt8",advnc00,5745,indonesia
2651,1.57578E+18,2022-09-30 09:17:26+00:00,Testimoni dari berbagai masyarakat masih banyak kendaraan mewah yg membeli BBM subsidi jenis pertalite. Padahal jelas pemerintah menyampaikan BBM subsidi hanya di peruntukan masyarakat menengah kebawah.  @pertamina #RealokasiSubsidiBBM https://t.co/DIeUDkQMx7,ChanaRangers,3264,Batavia
2652,1.57578E+18,2022-09-30 09:15:02+00:00,"Jangan salah paham dgn kenaikan harga BBM Subsidi  pemerintah berupaya mengendalikan kuota,volume dan konsumen dari BBM Subsidi tersebut  #RealokasiSubsidiBBM https://t.co/FjS0RCk3hV",LekMarteg,22858,"Sukoharjo, Indonesia"
2653,1.57578E+18,2022-09-30 09:12:34+00:00,"Untuk meningkatkan daya beli masyarakat, pemerintah mengalihkan subsidi BBM menjadi dana bantuan sosial (bansos). Dengan cara ini, maka penyaluran subsidi akan lebih tepat sasaran karena diterima langsung oleh kelompok masyarakat rentan miskin.  #SubsidiBBMTepatSasaran https://t.co/agOwzeLanl",bumnplgsigap,258,
2654,1.57578E+18,2022-09-30 09:11:10+00:00,"penyaluran BLT sudah mencapai angka 95,9%, Pemerintah terus menggenjot penyaluran BLT BBM guna menjaga daya beli masyarakat. https://t.co/VqyAEuNm9o",ekopryg01,18,
2655,1.57577E+18,2022-09-30 09:10:10+00:00,"Pemerintah akan terus menggenjot penyaluran BLT BBM agar daya beli masyarakat tetap terjaga, terutama masyarakat berpenghasilan rendah. https://t.co/31F9FaxGDT",nuelsuhar,20,
2656,1.57577E+18,2022-09-30 09:08:38+00:00,Sudah diatas 95% blt bbm telah disalurkan hanya beberapa lagi sisanya dan pemerintah terus menggonjot penyaluran bbm ini untuk menjaga daya beli masyarakat https://t.co/BRziM4meo5,achmdsetiawan99,15,
2657,1.57577E+18,2022-09-30 09:04:50+00:00,Penyesuaian Harga BBM Harus Diambil Pemerintah Agar Menahan Inflasi yang Dampak Biayanya Jauh Lebih Besar.  Papua Dukung #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran https://t.co/6f3dG5BHyP,s4msull3,100,"Papua, Indonesia"
2658,1.57577E+18,2022-09-30 09:04:28+00:00,"Penyesuaian Harga BBM, Langkah Pemerintah Hindari Krisis APBN.  Papua Dukung #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran https://t.co/rgQLni5zrq",s4msull3,100,"Papua, Indonesia"
2659,1.57577E+18,2022-09-30 09:04:03+00:00,Kebijakan Pemerintah Tepat Menyesuaikan Harga BBM.  Papua Dukung #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran https://t.co/TUEWQuFUtn,s4msull3,100,"Papua, Indonesia"
2660,1.57577E+18,2022-09-30 09:03:57+00:00,Anggaran Subsidi yang diatur Perpres Menjadi Salah Satu Acuan Pemerintah Memilih Jalan Menaikkan Harga BBM Subsidi.  Papua Dukung #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran https://t.co/epV59IH0Dv,s4msull3,100,"Papua, Indonesia"
2661,1.57577E+18,2022-09-30 09:02:44+00:00,Jika pemerintah melakukan subsidi tertutup BBM akan mewujudkan keadilan bagi masyarakat kecil. Metode tertutup di rasa lebih efisien dan tepat sasaran untuk mendistribusikan subsidi BBM.  @pertamina #RealokasiSubsidiBBM https://t.co/vKRsDHSjsK,hvezar,4624,"Jawa Barat, Indonesia"
2662,1.57577E+18,2022-09-30 09:01:50+00:00,Penyesuaian Harga BBM Harus Diambil Pemerintah Agar Menahan Inflasi yang Dampak Biayanya Jauh Lebih Besar.  Papua Dukung #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran https://t.co/Ww7e9hF94x,b1l4k4sm4r4,125,"Papua, Indonesia"
2663,1.57577E+18,2022-09-30 09:01:32+00:00,"Penyesuaian Harga BBM, Langkah Pemerintah Hindari Krisis APBN.  Papua Dukung #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran https://t.co/BuSK0g4N2G",b1l4k4sm4r4,125,"Papua, Indonesia"
2664,1.57577E+18,2022-09-30 09:01:16+00:00,Kebijakan Pemerintah Tepat Menyesuaikan Harga BBM.  Papua Dukung #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran https://t.co/DEmE4A0miN,b1l4k4sm4r4,125,"Papua, Indonesia"
2665,1.57577E+18,2022-09-30 09:01:15+00:00,"Nah kan, kalo diwawancara begini jadi jelas bestie. Memang banyak mobil - mobil mewah &amp; moge - moge yang antri pertalite. Hal ini lah jadi penyebab subsidi BBM tidak tepat sasaran.  #RealokasiSubsidiBBM dari semula berbentuk barang akhirnya sama Pemerintah dialihkan sebagian.. https://t.co/tscGCR4KRY",AbangSatus,3036,
