Unnamed: 0,tweet_text,text
2236,Penyaluran BLT BBM jadi komitmen pemerintah wujudkan penggunaan subsidi tepat sasaran  Dukung penyaluran BLT #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat #KPMPenyaluranBLTTepatSasaran #SukseskanKebijakanPemerintah #SubsidiBerkeadilanUntukMasaDepan -Sumatera Utara- https://t.co/8iVnGxMaRO,"['salur', 'blt', 'bbm', 'jadi', 'komitmen', 'perintah', 'wujud', 'guna', 'subsidi', 'tepat', 'sasar', 'dukung', 'salur', 'blt', 'sumatera', 'utara']"
2237,Bukti Konkrit pemerintah lindungi masyarakat rentan di Bali dengan penyaluran BLT dan BSU ditengah penyesuaian harga BBM  #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat #KPMPenyaluranBLTTepatSasaran #SukseskanKebijakanPemerintah #SubsidiBerkeadilanUntukMasaDepan https://t.co/finQ5Nysgv,"['bukti', 'konkrit', 'perintah', 'lindung', 'masyarakat', 'rentan', 'di', 'bal', 'dengan', 'salur', 'blt', 'dan', 'bsu', 'tengah', 'sesuai', 'harga', 'bbm']"
2238,Penyaluran BLT BBM jadi komitmen pemerintah wujudkan penggunaan subsidi tepat sasaran  Dukung penyaluran BLT #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat #KPMPenyaluranBLTTepatSasaran #SukseskanKebijakanPemerintah #SubsidiBerkeadilanUntukMasaDepan -Sumatera Utara- https://t.co/6NhfXPAiI8,"['salur', 'blt', 'bbm', 'jadi', 'komitmen', 'perintah', 'wujud', 'guna', 'subsidi', 'tepat', 'sasar', 'dukung', 'salur', 'blt', 'sumatera', 'utara']"
2239,Penyesuaian Harga BBM pemerintah tetap lindungi rakyat dari gejolak harga minyak dunia #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran Jawa Barat https://t.co/JEtcCFtyOk,"['sesuai', 'harga', 'bbm', 'perintah', 'tetap', 'lindung', 'rakyat', 'dari', 'gejolak', 'harga', 'minyak', 'dunia', 'jawa', 'barat']"
2240,Masyarakat sangat berterima kasih kepada pemerintah atas penyaluran BLT BBM ini  Dukung penyaluran BLT #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat #KPMPenyaluranBLTTepatSasaran #SukseskanKebijakanPemerintah #SubsidiBerkeadilanUntukMasaDepan -Sumatera Utara- https://t.co/oHCCTm7QFH,"['masyarakat', 'sangat', 'terima', 'kasih', 'kepada', 'perintah', 'atas', 'salur', 'blt', 'bbm', 'ini', 'dukung', 'salur', 'blt', 'sumatera', 'utara']"
2241,Kebijakan pemerintah mengalihkan subsidi BBM merupakan langkah tepat agar subsidi BBM bisa di nikmati semua kalangan dan tepat sasaran Lampung Dukung Penyesuaian Harga BBM #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran https://t.co/ikGQxsw61M,"['bijak', 'perintah', 'alih', 'subsidi', 'bbm', 'rupa', 'langkah', 'tepat', 'agar', 'subsidi', 'bbm', 'bisa', 'di', 'nikmat', 'semua', 'kalang', 'dan', 'tepat', 'sasar', 'lampung', 'dukung', 'sesuai', 'harga', 'bbm']"
2242,"Tinjau penyaluran bantuan pemerintah di Kota Bau-Bau, Presiden Jokowi sampaikan realisasi BSU dan BLT  Jambi dukung BLT BBM   #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat #KPMPenyaluranBLTTepatSasaran #SukseskanKebijakanPemerintah #SubsidiBerkeadilanUntukMasaDepan https://t.co/q0u8F6agrQ","['tinjau', 'salur', 'bantu', 'perintah', 'di', 'kota', 'bau', 'bau', 'presiden', 'jokowi', 'sampai', 'realisasi', 'bsu', 'dan', 'blt', 'jambi', 'dukung', 'blt', 'bbm']"
2243,Dukung penyesuaian harga BBM oleh pemerintah agar lebih tepat sasaran #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran Jawa Barat https://t.co/wEwwF0dNqb,"['dukung', 'sesuai', 'harga', 'bbm', 'oleh', 'perintah', 'agar', 'lebih', 'tepat', 'sasar', 'jawa', 'barat']"
2244,Alhamdulillah. Akhirnya pemerintah sudah mulai menyalurkan BLT BBM ke seluruh daerah di Indonesia  Dukung penyaluran BLT #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat #KPMPenyaluranBLTTepatSasaran #SukseskanKebijakanPemerintah #SubsidiBerkeadilanUntukMasaDepan -Sumatera Utara- https://t.co/x9b3sUEBNf,"['alhamdulillah', 'akhir', 'perintah', 'sudah', 'mulai', 'salur', 'blt', 'bbm', 'ke', 'seluruh', 'daerah', 'di', 'indonesia', 'dukung', 'salur', 'blt', 'sumatera', 'utara']"
2245,Penyaluran BLT dan BSU bukti pemerintah lindungi masyarakat rentan ditengah penyesuaian harga BBM   Jambi dukung BLT BBM   #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat #KPMPenyaluranBLTTepatSasaran #SukseskanKebijakanPemerintah #SubsidiBerkeadilanUntukMasaDepan https://t.co/wKeuKrycrL,"['salur', 'blt', 'dan', 'bsu', 'bukti', 'perintah', 'lindung', 'masyarakat', 'rentan', 'tengah', 'sesuai', 'harga', 'bbm', 'jambi', 'dukung', 'blt', 'bbm']"
2246,Penyesuaian harga BBM diambil pemerintah untuk menahan inflasi #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran Jawa Barat https://t.co/zqYYKXl90M,"['sesuai', 'harga', 'bbm', 'ambil', 'perintah', 'untuk', 'tahan', 'inflasi', 'jawa', 'barat']"
2247,Pemerintah pastikan BLT BBM tahap 2 cair mulai november   Jambi dukung BLT BBM   #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat #KPMPenyaluranBLTTepatSasaran #SukseskanKebijakanPemerintah #SubsidiBerkeadilanUntukMasaDepan https://t.co/KgChyn8Ulv,"['perintah', 'pasti', 'blt', 'bbm', 'tahap', 'cair', 'mulai', 'november', 'jambi', 'dukung', 'blt', 'bbm']"
2248,"Yuk mari kita dukung penyesuaian BBM oleh pemerintah, demi kebaikan bersama #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran Jawa Barat https://t.co/cam1DtYaLh","['yuk', 'mari', 'kita', 'dukung', 'sesuai', 'bbm', 'oleh', 'perintah', 'demi', 'baik', 'sama', 'jawa', 'barat']"
2249,"Pantau penyaluran BLT, pemerintah pastikan BLT tepat sasaran  Jambi dukung BLT BBM  #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat #KPMPenyaluranBLTTepatSasaran #SukseskanKebijakanPemerintah #SubsidiBerkeadilanUntukMasaDepan https://t.co/SjrMWiUMdR","['pantau', 'salur', 'blt', 'perintah', 'pasti', 'blt', 'tepat', 'sasar', 'jambi', 'dukung', 'blt', 'bbm']"
2250,Pemerintah pastikan penyaluran BLT BBM tepat sasaran dan menjangkau masyarakat kecil  Dukung penyaluran BLT #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat #KPMPenyaluranBLTTepatSasaran #SukseskanKebijakanPemerintah #SubsidiBerkeadilanUntukMasaDepan -Sumatera Utara- https://t.co/kOqH3wI9N5,"['perintah', 'pasti', 'salur', 'blt', 'bbm', 'tepat', 'sasar', 'dan', 'jangkau', 'masyarakat', 'kecil', 'dukung', 'salur', 'blt', 'sumatera', 'utara']"
2251,Pemerintah melakukan penyesuaian harga BBM agar stabilitas ekonomi indonesia tetap terjaga  Dukung penyesuaian harga BBM #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran -Sumatera Utara- https://t.co/RSDDb6dcDJ,"['perintah', 'laku', 'sesuai', 'harga', 'bbm', 'agar', 'stabilitas', 'ekonomi', 'indonesia', 'tetap', 'jaga', 'dukung', 'sesuai', 'harga', 'bbm', 'sumatera', 'utara']"
2252,Kebijakan pemerintah mengalihkan subsidi BBM ke bantuan sosial sangat tepat agar penggunaan subsidi lebih tepat sasaran  Dukung penyesuaian harga BBM #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran -Sumatera Utara- https://t.co/ovCefFk6Ba,"['bijak', 'perintah', 'alih', 'subsidi', 'bbm', 'ke', 'bantu', 'sosial', 'sangat', 'tepat', 'agar', 'guna', 'subsidi', 'lebih', 'tepat', 'sasar', 'dukung', 'sesuai', 'harga', 'bbm', 'sumatera', 'utara']"
2253,"Dukung Kebijakan Pemerintah Menyesuaikan Harga BBM, agar dana subsidi dapat digunakan untuk sektor pendidikan kesehatan dan infrastruktur  #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran Sumatera Barat https://t.co/ustGFJtEM3","['dukung', 'bijak', 'perintah', 'sesuai', 'harga', 'bbm', 'agar', 'dana', 'subsidi', 'dapat', 'guna', 'untuk', 'sektor', 'didik', 'sehat', 'dan', 'infrastruktur', 'sumatera', 'barat']"
